"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2025","160.80","160.32","161.52","159.91","","0.30%"
"01/30/2025","160.32","161.76","161.81","160.20","","-0.87%"
"01/29/2025","161.72","162.22","162.51","161.30","","-0.28%"
"01/28/2025","162.18","162.12","162.75","161.57","","0.06%"
"01/27/2025","162.08","163.59","163.60","161.54","","-0.97%"
"01/24/2025","163.67","162.56","164.21","161.90","","0.70%"
"01/23/2025","162.53","162.93","163.15","162.17","","-0.23%"
"01/22/2025","162.90","162.20","163.25","161.87","","0.45%"
"01/21/2025","162.17","162.07","162.25","160.93","","0.09%"
"01/20/2025","162.03","160.56","162.35","160.30","","0.93%"
"01/17/2025","160.54","159.79","161.04","159.72","","0.50%"
"01/16/2025","159.74","160.99","161.12","159.74","","-0.78%"
"01/15/2025","160.99","162.85","162.92","160.77","","-1.12%"
"01/14/2025","162.81","161.34","162.89","161.18","","0.93%"
"01/13/2025","161.31","161.53","161.81","160.03","","-0.14%"
"01/10/2025","161.54","162.91","163.20","161.20","","-0.80%"
"01/09/2025","162.85","163.41","163.44","162.37","","-0.33%"
"01/08/2025","163.39","163.42","163.85","162.84","","-0.02%"
"01/07/2025","163.42","163.78","164.58","163.20","","-0.21%"
"01/06/2025","163.76","162.05","164.06","161.98","","1.02%"
"01/03/2025","162.11","161.70","162.23","161.38","","0.27%"
"01/02/2025","161.68","162.87","163.33","160.87","","-0.47%"
"01/01/2025","162.44","162.76","162.85","162.35","","-0.18%"
"12/31/2024","162.73","163.23","163.43","162.42","","-0.29%"
"12/30/2024","163.21","164.67","164.89","162.77","","-0.82%"
"12/27/2024","164.56","164.71","164.80","163.96","","-0.07%"
"12/26/2024","164.67","163.59","164.78","163.30","","0.56%"
"12/25/2024","163.76","163.45","163.97","163.32","","0.21%"
"12/24/2024","163.42","163.55","163.74","163.09","","-0.06%"
"12/23/2024","163.52","163.07","163.67","162.85","","0.25%"
"12/20/2024","163.12","163.17","163.69","162.32","","-0.01%"
"12/19/2024","163.13","160.28","163.84","159.85","","1.80%"
"12/18/2024","160.25","161.05","161.61","159.80","","-0.46%"
"12/17/2024","160.99","162.05","162.50","160.76","","-0.63%"
"12/16/2024","162.01","161.33","162.24","161.08","","0.41%"
"12/13/2024","161.35","159.76","161.57","159.64","","1.00%"
"12/12/2024","159.75","160.01","160.59","159.09","","-0.13%"
"12/11/2024","159.96","159.99","160.65","158.65","","0.01%"
"12/10/2024","159.94","159.60","160.09","159.37","","0.25%"
"12/09/2024","159.54","158.49","160.01","157.85","","0.62%"
"12/06/2024","158.55","158.91","159.76","158.09","","-0.20%"
"12/05/2024","158.87","158.32","159.41","157.55","","0.37%"
"12/04/2024","158.28","157.22","158.68","156.97","","0.68%"
"12/03/2024","157.21","157.06","158.01","156.16","","0.12%"
"12/02/2024","157.02","158.41","158.67","156.37","","-0.85%"
"11/29/2024","158.36","159.96","159.99","158.01","","-0.98%"
"11/28/2024","159.92","159.68","160.37","159.49","","0.19%"
"11/27/2024","159.62","160.59","160.73","159.08","","-0.59%"
"11/26/2024","160.56","161.83","162.04","160.29","","-0.78%"
"11/25/2024","161.83","160.68","162.16","160.67","","0.37%"
"11/22/2024","161.24","161.87","162.51","159.91","","-0.36%"
"11/21/2024","161.82","163.84","163.89","161.74","","-1.25%"
"11/20/2024","163.87","163.85","164.78","163.16","","0.01%"
"11/19/2024","163.85","163.93","163.99","161.49","","-0.02%"
"11/18/2024","163.88","162.78","164.00","162.25","","0.73%"
"11/15/2024","162.69","164.57","165.05","162.32","","-1.12%"
"11/14/2024","164.53","164.23","165.00","163.79","","0.20%"
"11/13/2024","164.20","164.26","165.10","163.63","","-0.02%"
"11/12/2024","164.23","163.79","164.34","163.22","","0.29%"
"11/11/2024","163.76","163.64","164.67","163.48","","0.10%"
"11/08/2024","163.59","165.26","165.44","163.21","","-0.99%"
"11/07/2024","165.23","165.92","165.98","164.99","","-0.40%"
"11/06/2024","165.89","165.74","166.14","164.93","","0.11%"
"11/05/2024","165.71","165.48","166.08","165.41","","0.15%"
"11/04/2024","165.47","165.75","166.55","165.23","","-0.15%"
"11/01/2024","165.72","165.46","166.43","165.22","","0.16%"
"10/31/2024","165.45","166.56","166.70","164.92","","-0.66%"
"10/30/2024","166.55","165.91","166.62","165.49","","0.40%"
"10/29/2024","165.89","165.75","166.15","165.14","","0.10%"
"10/28/2024","165.73","164.46","166.09","164.43","","0.82%"
"10/25/2024","164.38","164.39","164.81","163.91","","0.00%"
"10/24/2024","164.38","164.68","164.77","163.79","","-0.18%"
"10/23/2024","164.68","163.15","165.04","163.05","","0.97%"
"10/22/2024","163.10","163.14","163.69","162.79","","-0.01%"
